FEATURES_TXT_BEGIN_0 0 100 8 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-6 -37.5178 -4 3 -5.43953 -7.42271 -5.78136 -6.61823 
0 -44.1539 -4 3 -1.60944 -3.90218 -7.3908 -7.79686 
0 -44.654 -4 3 -4.97299 -7.36548 -3.70192 -4.54844 
-3 -48.0458 -5 3 -1.60944 -3.94832 -4.61821 -4.23057 
0 -44.2075 -4 3 -1.89712 -4.11575 -7.3908 -8.0846 
-6 -39.0518 -4 3 -5.62625 -7.30201 -4.75174 -5.62783 
-5 -45.6701 -5 3 -2.12026 -3.9967 -6.69765 -3.59017 
-4 -39.8159 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
-4 -42.6775 -4 3 -4.45417 -6.19116 -4.29975 -5.17584 
-6 -38.4707 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
-5 -47.2704 -5 3 -1.60944 -3.94832 -4.61821 -4.23057 
0 -45.5286 -5 3 -5.88842 -7.33324 -6.69765 -8.78998 
-6 -41.4145 -4 3 -3.51109 -5.24979 -4.9929 -5.71744 
0 -43.7807 -4 3 -2.30258 -5.422 -7.3908 -9.18321 
-4 -40.5834 -4 3 -5.43953 -7.42271 -5.78136 -6.61823 
-5 -42.4319 -4 3 -3.51109 -5.24979 -4.9929 -5.71744 
-6 -40.9644 -5 3 -5.88842 -7.33324 -6.69765 -8.78998 
-5 -42.5169 -4 3 -4.45417 -6.19116 -4.29975 -5.17584 
-4 -50.469 -5 3 -1.99972 -3.9967 -2.62011 -2.46251 
-5 -42.4999 -4 3 -4.97299 -7.36548 -3.70192 -4.54844 
-3 -44.6267 -4 3 -4.45417 -6.19116 -4.29975 -5.17584 
-4 -43.4625 -5 3 -5.88842 -7.33324 -6.69765 -8.78998 
-4 -43.7747 -4 3 -4.97299 -7.36548 -3.70192 -4.54844 
-4 -44.281 -4 3 -3.51109 -5.24979 -4.9929 -5.71744 
-4 -43.0292 -4 3 -5.62625 -7.30201 -4.75174 -5.62783 
